,cascade_depth,cascade_expansion_degree_average,cascade_expansion_degree_max,cascade_expansion_degree_median,cascade_expansion_degree_min,cascade_size,cascade_speed,cascade_speed_average,cascade_speed_first_level,cascade_speed_max,cascade_speed_median,cascade_speed_min,cascade_speed_peak_level_first,cascade_speed_peak_level_last,cascade_speed_slot1_average,cascade_speed_slot2_average,cascade_speed_slot3_average,cascade_speed_slot4_average,cascade_speed_weekdays_average,cascade_speed_weekends_average,cascade_unique_size,level_number_to_peak,level_size_average,level_size_max,level_size_median,level_size_min
5436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5437,0.0821917808219178,0.07916666666666666,0.056818181818181816,0.05,0.05,0.036468330134357005,0.006465521010125936,0.9886662244482979,0.0005292525026989133,0.988634708752988,0.9886631905622505,0.9886825690813102,0.0003574769658540554,0.003493409520082886,0.00201443131807518,0.0008576723873549012,0.0007141993267139841,0.004423817648035701,0.0,0.0,0.05851063829787234,0.1457070707070707,0.07398975526465566,0.0392156862745098,0.10526315789473684,
5438,0.0273972602739726,0.1,0.03409090909090909,0.1,0.05,0.007677543186180422,0.0016132714553154118,0.9886575274176665,0.0008234798499543429,0.9885876341322077,0.9886602753475764,0.9886831184567699,0.0003238627433884083,0.0017087687089730698,0.0031343141337880054,0.00012115818991368721,0.0,0.0,0.0,0.0,0.015957446808510637,0.396969696969697,0.02656042496679947,0.0196078431372549,0.0,
5439,0.0410958904109589,0.10833333333333332,0.06818181818181818,0.075,0.05,0.02495201535508637,0.002894743574423796,0.98865986613618,0.0005944229340098619,0.9886019447109721,0.9886617007878973,0.9886830679974855,0.00011909038816400695,0.0019090134342327105,0.0,0.0007251953679757851,0.0,0.0,0.0,0.0,0.05319148936170213,0.13852813852813853,0.099601593625498,0.049019607843137254,0.13157894736842105,
5440,0.1917808219178082,0.05500000000000001,0.022727272727272728,0.05,0.05,0.04222648752399232,0.0027620367932627184,0.9886704957001244,0.00016649330188597055,0.988601840650089,0.9886794866248932,0.9886835196080815,0.00011579756637145375,0.0017890998406205653,0.0,0.0004328836773664878,0.00019439653655515824,0.00023179287442701835,0.0,0.0,0.031914893617021274,0.12604303908651734,0.021248339973439577,0.0196078431372549,0.0,
5441,0.1643835616438356,0.0859375,0.1590909090909091,0.05,0.05,0.21113243761996162,0.05621728679075301,0.9886875996291012,0.001147068191526705,0.9891236088548329,0.9886759034715908,0.988686986160925,0.00045303739829210936,0.05954505688109545,0.008611008482022212,0.0004110804041127055,0.0014111626260231585,0.0026527696052093992,0.0,0.0,0.26595744680851063,0.022113022113022116,0.30033711308611705,0.22549019607843138,0.15789473684210525,
5442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5443,0.0410958904109589,0.12,0.07954545454545454,0.05,0.05,0.023032629558541268,0.0032245351457621104,0.9886766629033671,0.0016728906715250422,0.9886085629831307,0.9886844390839198,0.9886854351686685,5.968239499002652e-06,0.003253925335128653,0.0,0.0023153622284422352,0.0,0.0005657508346075835,0.0,0.0,0.05319148936170213,0.1495726495726496,0.0896414342629482,0.058823529411764705,0.07894736842105263,
5444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5445,0.1232876712328767,0.06153846153846154,0.045454545454545456,0.05,0.05,0.030710172744721688,0.0032380713669737577,0.9886712538284019,0.000706859078134751,0.9886093904248185,0.988670578253613,0.9886908715258296,0.0005396797717086651,0.0010540459758870775,0.0,0.00016594065937265684,0.0011787616012800296,2.1548764278929502e-05,0.0,0.0,0.031914893617021274,0.17231134878193705,0.02788844621513944,0.029411764705882353,0.0,
5446,0.0410958904109589,0.08333333333333334,0.03409090909090909,0.05,0.05,0.009596928982725527,0.0025600945074353686,0.9886649440819057,0.0002046351543163783,0.9886028377425498,0.9886667024435368,0.988686399571743,2.984119749501326e-05,0.00048747482620589477,0.0,0.0004191060168487531,0.0016191765160340184,0.0,0.0,0.0,0.02127659574468085,0.3299663299663299,0.0199203187250996,0.0196078431372549,0.0,
5447,0.0136986301369863,0.05,0.011363636363636364,0.05,0.05,0.0019193857965451055,0.0009700094980231612,0.9886665013354142,0.001027428999730606,0.9885875887238225,0.9886719015163534,0.9886958064438514,0.001027428999730606,0.001027428999730606,0.0,0.0010636495957428449,0.0,0.0,0.0,0.0,0.005319148936170213,1.0,0.0,0.0,0.0,
5448,0.0136986301369863,0.05,0.011363636363636364,0.05,0.05,0.0019193857965451055,0.0010699443751981453,0.9886675205827491,0.0011332795002703888,0.9885886078898038,0.9886729207692555,0.9886968257213977,0.0011332795002703888,0.0011332795002703888,0.0,0.001173231710066889,0.0,0.0,0.0,0.0,0.005319148936170213,1.0,0.0,0.0,0.0,
5449,0.1780821917808219,0.07121212121212121,0.056818181818181816,0.05,0.05,0.09021113243761997,0.00511228748861322,0.9886731289659803,0.000904016782963873,0.988627976959866,0.9886726312661107,0.9886867647708144,0.0007541247909486914,0.003605845664207775,0.0,0.00021807818625676177,0.0005456480112076677,0.00033594523510851093,0.0,0.0,0.0851063829787234,0.1415193602693603,0.09675583380762662,0.058823529411764705,0.10526315789473684,
5450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5452,0.1506849315068493,0.08676470588235294,0.14772727272727273,0.05,0.05,0.11708253358925144,0.0032387837996691073,0.9886646854857378,0.0006726960520370116,0.9886101503846004,0.9886689307978085,0.9886880079614356,0.00012821424854753973,0.0021489092219110126,0.0,0.00026200782807401835,0.00016726750700981488,0.0,0.0,0.0,0.1276595744680851,0.02737047898338221,0.1593625498007968,0.11764705882352941,0.18421052631578946,
